date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-7-1 00:00,5.827000141,2.009000063,1.598999977,0.462000012,4.203000069,1.340000033,30.53100014,41.13000107,12.48099995,36.5359993,9.354999542,4.423999786,1.31099999,38.66199875
2016-7-1 00:15,5.760000229,2.075999975,1.491999984,0.425999999,4.263999939,1.401000023,30.45999908,39.62200165,11.30900002,35.54399872,8.550999641,3.209000111,1.258000016,38.22299957
2016-7-1 00:30,5.760000229,1.942000031,1.491999984,0.391000003,4.234000206,1.309999943,30.03800011,38.86800003,10.55500031,34.36500168,7.585999966,4.434999943,1.258000016,37.34400177
2016-7-1 00:45,5.760000229,1.942000031,1.491999984,0.425999999,4.234000206,1.309999943,27.01300049,35.51800156,9.213999748,32.56900024,8.711999893,4.434999943,1.215000033,37.12400055
2016-7-1 01:00,5.69299984,2.075999975,1.491999984,0.425999999,4.142000198,1.371000051,27.78700066,37.52799988,10.13599968,33.93600082,7.532000065,4.434999943,1.215000033,37.12400055
2016-7-1 01:15,5.492000103,1.942000031,1.457000017,0.391000003,4.111999989,1.279000044,27.71699905,37.61199951,10.30300045,33.2120018,7.532000065,3.913000107,1.300999999,36.90399933
2016-7-1 01:30,5.357999802,1.875,1.350000024,0.354999989,3.928999901,1.340000033,27.64599991,36.27199936,9.465999603,32.91699982,7.210999966,3.913000107,0,36.90399933
2016-7-1 01:45,5.157000065,1.807999969,1.350000024,0.319999993,3.806999922,1.279000044,27.08399963,32.75299835,7.874000072,30.71899986,6.272999763,2.099999905,0,36.46500015
2016-7-1 02:00,5.157000065,1.741000056,1.279000044,0.354999989,3.77699995,1.218000054,27.78700066,37.9469986,11.30900002,35.33000183,9.006999969,2.099999905,0,36.46500015
2016-7-1 02:15,5.157000065,1.807999969,1.350000024,0.425999999,3.77699995,1.187999964,27.50600052,38.44900131,11.30900002,35.3030014,9.11400032,3.380000114,0,36.46500015
2016-7-1 02:30,5.157000065,1.807999969,1.315000057,0.391000003,3.77699995,1.248999953,27.85700035,37.86299896,11.3920002,35.25,9.086999893,3.380000114,0,35.80599976
2016-7-1 02:45,5.157000065,1.942000031,1.350000024,0.425999999,3.806999922,1.279000044,27.01300049,38.70100021,11.64400005,35.49100113,9.220999718,3.380000114,1.246999979,34.92699814
2016-7-1 03:00,5.090000153,1.942000031,1.279000044,0.391000003,3.806999922,1.279000044,25.04400063,38.95199966,11.89500046,35.54399872,9.43599987,3.380000114,1.215000033,33.60850143
2016-7-1 03:15,5.223999977,2.009000063,1.457000017,0.532999992,3.806999922,1.248999953,24.5510006,36.60699844,11.14099979,33.29299927,8.711999893,3.380000114,1.215000033,32.94900131
